Time: 1616657409, System 1, Ping: 1105
Time: 1616657418, System 2, Ping: 1120
Time: 1616657419, System 1, Ping: 1090
Time: 1616657427, System 2, Ping: 914
Time: 1616657429, System 1, Ping: 1008
Time: 1616657438, System 2, Ping: 1071
Time: 1616657439, System 1, Ping: 1135
Time: 1616657447, System 2, Ping: 763
Time: 1616657449, System 1, Ping: 1141
Time: 1616657457, System 2, Ping: 643
Time: 1616657458, System 1, Ping: 777
Time: 1616657468, System 2, Ping: 1041
Time: 1616657470, System 1, Ping: 1495
Time: 1616657478, System 2, Ping: 1110
Time: 1616657479, System 1, Ping: 963
Time: 1616657487, System 2, Ping: 407
Time: 1616657489, System 1, Ping: 1270
Time: 1616657498, System 2, Ping: 785
Time: 1616657500, System 1, Ping: 1555
Time: 1616657508, System 2, Ping: 1064
Time: 1616657515, System 1, ERROR: Ping timed out.
Time: 1616657518, System 2, Ping: 1051
Time: 1616657524, System 1, ERROR: Ping timed out.
Time: 1616657528, System 2, Ping: 863
Time: 1616657535, System 1, ERROR: Ping timed out.
Time: 1616657539, System 2, Ping: 1189
Time: 1616657546, System 1, ERROR: Ping timed out.
Time: 1616657549, System 2, Ping: 1181
Time: 1616657555, System 1, ERROR: Ping timed out.
Time: 1616657559, System 2, Ping: 1019
Time: 1616657560, System 1, Ping: 896
Time: 1616657569, System 2, Ping: 951
Time: 1616657569, System 1, Ping: 571
Time: 1616657579, System 2, Ping: 1154
Time: 1616657581, System 1, Ping: 1289
Time: 1616657589, System 2, Ping: 489
Time: 1616657589, System 1, Ping: 765
Time: 1616657599, System 2, Ping: 801
Time: 1616657600, System 1, Ping: 622
Time: 1616657609, System 2, Ping: 545
Time: 1616657610, System 1, Ping: 738
Time: 1616657619, System 2, Ping: 493
Time: 1616657620, System 1, Ping: 1350
Time: 1616657629, System 2, Ping: 716
Time: 1616657630, System 1, Ping: 1236
Time: 1616657694, System 1, Ping: 282
Time: 1616657696, System 2, Ping: 1543
Time: 1616657705, System 1, Ping: 930
Time: 1616657706, System 2, Ping: 1144
Time: 1616657719, System 1, ERROR: Ping timed out.
Time: 1616657724, System 2, ERROR: Ping timed out.
Time: 1616657834, System 1, Ping: 686
Time: 1616657835, System 2, Ping: 948
Time: 1616657843, System 1, Ping: 239
Time: 1616657844, System 2, Ping: 869
Time: 1616657955, System 1, Ping: 1147
Time: 1616657956, System 2, Ping: 595
Time: 1616657965, System 1, Ping: 1046
Time: 1616657965, System 2, Ping: 809
Time: 1616657975, System 1, Ping: 868
Time: 1616657975, System 2, Ping: 793
Time: 1616657985, System 1, Ping: 950
Time: 1616657986, System 2, Ping: 681
Time: 1616657995, System 1, Ping: 1124
Time: 1616657996, System 2, Ping: 908
Time: 1616658005, System 1, Ping: 1215
Time: 1616658006, System 2, Ping: 667
Time: 1616658015, System 1, Ping: 1008
Time: 1616658016, System 2, Ping: 455
Time: 1616658025, System 1, Ping: 329
Time: 1616658025, System 2, Ping: 786
Time: 1616658035, System 1, Ping: 916
Time: 1616658036, System 2, Ping: 841
Time: 1616658045, System 1, Ping: 753
Time: 1616658046, System 2, Ping: 975
Time: 1616658056, System 1, Ping: 1097
Time: 1616658056, System 2, Ping: 533
Time: 1616658066, System 1, Ping: 1044
Time: 1616658067, System 2, Ping: 779
Time: 1616658076, System 1, Ping: 968
Time: 1616658077, System 2, Ping: 758
Time: 1616658085, System 1, Ping: 625
Time: 1616658086, System 2, Ping: 815
Time: 1616658096, System 1, Ping: 922
Time: 1616658097, System 2, Ping: 798
Time: 1616658106, System 1, Ping: 705
Time: 1616658107, System 2, Ping: 591
Time: 1616658116, System 1, Ping: 533
Time: 1616658116, System 2, Ping: 339
Time: 1616658126, System 1, Ping: 869
Time: 1616658128, System 2, Ping: 1158
Time: 1616658137, System 1, Ping: 917
Time: 1616658144, System 2, ERROR: Ping timed out.
Time: 1616658146, System 1, Ping: 716
Time: 1616658147, System 2, Ping: 801
Time: 1616658156, System 1, Ping: 775
Time: 1616658157, System 2, Ping: 442
Time: 1616658167, System 1, Ping: 730
Time: 1616658168, System 2, Ping: 1171
Time: 1616658177, System 1, Ping: 775
Time: 1616658177, System 2, Ping: 657
Time: 1616658187, System 1, Ping: 943
Time: 1616658193, System 2, ERROR: Ping timed out.
Time: 1616658197, System 1, Ping: 468
Time: 1616658197, System 2, Ping: 733
Time: 1616658207, System 1, Ping: 677
Time: 1616658208, System 2, Ping: 1142
Time: 1616658217, System 1, Ping: 790
Time: 1616658218, System 2, Ping: 721
Time: 1616658227, System 1, Ping: 603
Time: 1616658228, System 2, Ping: 932
Time: 1616658238, System 1, Ping: 955
Time: 1616658239, System 2, Ping: 1053
Time: 1616658247, System 1, Ping: 609
Time: 1616658248, System 2, Ping: 833
Time: 1616658258, System 1, Ping: 1113
Time: 1616658259, System 2, Ping: 685
Time: 1616658267, System 1, Ping: 474
Time: 1616658268, System 2, Ping: 887
Time: 1616658278, System 1, Ping: 856
Time: 1616658278, System 2, Ping: 270
Time: 1616658288, System 1, Ping: 940
Time: 1616658289, System 2, Ping: 509
Time: 1616658298, System 1, Ping: 731
Time: 1616658299, System 2, Ping: 1114
Time: 1616658308, System 1, Ping: 573
Time: 1616658309, System 2, Ping: 444
Time: 1616658319, System 1, Ping: 971
Time: 1616658319, System 2, Ping: 835
Time: 1616658328, System 1, Ping: 546
