system_id,m_epoch,r_acc_x,r_acc_y,r_acc_z,gyr_x,gyr_y,gyr_z,mag_x,mag_y,mag_z,q_w,q_i,q_j,q_k,roll,pitch,yaw
1,1626619740246,2.30744,-0.0711793,9.54324,0.00167638,-0.00757426,-0.00349879,-0.985192,0.1874,0.0654953,0.725844,-0.0817093,-0.0847637,-0.677709,-0.21959,-13.5209,-86.0455
1,1626619740446,2.31166,-0.0821968,9.54535,0.00474453,0.011383,-0.0130713,-0.982206,0.186836,0.0559586,0.725495,-0.0816482,-0.0844536,-0.678129,-0.231552,-13.4901,-86.1071
1,1626619740647,2.31798,-0.0697626,9.55492,-0.00228435,0.00180453,0.00212342,-0.990588,0.177618,0.0649409,0.725221,-0.0818,-0.0843072,-0.678421,-0.250686,-13.4898,-86.1511
1,1626619740847,2.31216,-0.069786,9.56015,7.59959e-05,-0.00378191,-0.00882149,-0.988007,0.180044,0.0651952,0.724873,-0.0819857,-0.0842148,-0.678782,-0.267008,-13.4968,-86.207
1,1626619741048,2.3083,-0.082098,9.52895,0.00823885,0.0164688,-0.01892,-0.992454,0.187389,0.0623589,0.724651,-0.0820394,-0.0842515,-0.679008,-0.264276,-13.5042,-86.2438
1,1626619741248,2.30445,-0.0881549,9.59012,0.00882596,-0.000932813,-0.0202298,-0.992557,0.182327,0.0598711,0.724352,-0.082116,-0.0841407,-0.679332,-0.273583,-13.501,-86.2936
1,1626619741448,2.31,-0.107588,9.54248,-0.00528544,-0.0053972,-0.0185221,-0.989801,0.182198,0.0601174,0.723919,-0.0823057,-0.0839645,-0.679792,-0.295125,-13.5014,-86.3639
1,1626619741649,2.27355,-0.0551103,9.5447,0.0028044,0.0147671,-0.000835955,-0.984874,0.182118,0.0605802,0.723705,-0.0823481,-0.0839351,-0.680018,-0.296797,-13.5023,-86.3996
1,1626619741849,2.29938,-0.0656427,9.55943,-0.00206679,0.00381023,-0.00339448,-0.985019,0.184845,0.0654862,0.723474,-0.0824764,-0.0837145,-0.680276,-0.320593,-13.494,-86.4369
1,1626619742050,2.30756,-0.0511621,9.54011,-0.000403821,0.00429601,-0.0134796,-0.982397,0.179482,0.0583472,0.723214,-0.0826205,-0.0838001,-0.680524,-0.321077,-13.5127,-86.4781
1,1626619742250,2.33675,-0.0767646,9.52949,-0.00219196,0.00940561,0.00224113,-0.985136,0.18238,0.0654634,0.722836,-0.0826199,-0.0837706,-0.68093,-0.3157,-13.5104,-86.5428
1,1626619742450,2.30505,-0.0459066,9.54983,-0.00771582,0.0198081,-0.00728965,-0.979742,0.186796,0.05619,0.72247,-0.0828341,-0.083648,-0.681307,-0.336504,-13.5172,-86.6009
1,1626619742651,2.3121,-0.0620682,9.54036,-0.00165105,-0.0005126,-0.00648946,-0.985089,0.192462,0.0679832,0.722207,-0.0826133,-0.0836669,-0.68161,-0.31062,-13.5014,-86.6503
1,1626619742851,2.33798,-0.0842771,9.52774,0.00433028,0.00450611,-0.00748187,-0.982728,0.18736,0.0657268,0.721799,-0.0825787,-0.0837544,-0.682035,-0.292485,-13.5062,-86.7203
1,1626619743052,2.32235,-0.087166,9.57101,-0.0113234,0.00352263,-0.00968724,-0.987629,0.182247,0.060334,0.721412,-0.0826248,-0.0837038,-0.682445,-0.292656,-13.5058,-86.7855
1,1626619743252,2.31462,-0.0865558,9.53866,-0.00345558,0.00321716,-0.00327379,-0.980395,0.187451,0.0684003,0.721069,-0.0828266,-0.0836608,-0.682789,-0.30654,-13.5183,-86.8398
1,1626619743453,2.31255,-0.0759837,9.54709,0.000263751,0.00429601,-0.0144184,-0.984991,0.179653,0.0605574,0.720736,-0.0828814,-0.0836946,-0.683129,-0.30189,-13.5257,-86.8953
1,1626619743653,2.31295,-0.0702021,9.54225,-5.21541e-05,0.0147492,-0.000248849,-0.98301,0.172349,0.0631617,0.720393,-0.0830031,-0.083485,-0.683502,-0.322067,-13.5179,-86.9514
1,1626619743853,2.27661,-0.0482625,9.5297,0.00347644,0.00689179,0.0125647,-0.992512,0.179904,0.0623047,0.720129,-0.0830791,-0.0833912,-0.683782,-0.33073,-13.5162,-86.9948
1,1626619744054,2.30226,-0.0780932,9.54707,-0.00967383,0.0105247,-0.00296831,-0.987351,0.184754,0.0628133,0.719986,-0.0830888,-0.0831112,-0.683966,-0.350889,-13.4937,-87.0192
1,1626619744254,2.2924,-0.066334,9.52271,0.0086993,-0.0024125,-0.0106737,-0.993854,0.189149,0.049957,0.719575,-0.0831226,-0.0829708,-0.684411,-0.356686,-13.4848,-87.0884
1,1626619744455,2.3301,-0.084113,9.53444,0.0283673,0.00872016,-0.00383109,-0.997499,0.185004,0.0618731,0.7194,-0.0830737,-0.0828863,-0.684611,-0.355653,-13.4739,-87.1193
1,1626619744655,2.34653,-0.0716736,9.5542,-0.014548,-0.00296831,-0.0106379,-0.989976,0.184753,0.0601254,0.719059,-0.0832433,-0.0825961,-0.684984,-0.386457,-13.4634,-87.1739
1,1626619744855,2.29389,-0.0649191,9.54259,0.00916123,-0.00621528,-0.00178963,-0.984642,0.181684,0.0507972,0.718759,-0.0832204,-0.0823656,-0.685329,-0.396795,-13.4425,-87.2255
1,1626619745056,2.30717,-0.0561832,9.55472,0.013198,0.0142068,-0.0115067,-0.991931,0.186865,0.0525906,0.718482,-0.0831568,-0.082456,-0.685616,-0.378611,-13.4451,-87.2737
1,1626619745256,2.31191,-0.0807859,9.55299,-0.00254065,-0.00698119,-0.0181079,-0.982818,0.179702,0.060774,0.718113,-0.0833413,-0.0823938,-0.685988,-0.39204,-13.4548,-87.3325
1,1626619745457,2.30677,-0.0602185,9.55955,0.00527352,-0.000570714,0.000137091,-0.986796,0.196909,0.0580293,0.717726,-0.0834946,-0.0824555,-0.686366,-0.392578,-13.4724,-87.3947
1,1626619745657,2.30989,-0.0846701,9.54965,-0.00342578,0.00347793,-0.00871271,-0.98712,0.18432,0.0530307,0.717377,-0.0836112,-0.082541,-0.686707,-0.388802,-13.489,-87.4513
1,1626619745857,2.32716,-0.0807056,9.54402,0.00224411,0.00822544,-0.00190884,-0.994773,0.184702,0.0572204,0.717252,-0.0836098,-0.0823478,-0.686861,-0.401568,-13.4729,-87.4727
1,1626619746058,2.33576,-0.0773553,9.56575,0.00244975,0.00355989,-0.00317693,-0.992543,0.179731,0.0574061,0.717014,-0.0837808,-0.0822139,-0.687104,-0.422152,-13.4755,-87.5095
1,1626619746258,2.30818,-0.087165,9.55984,-0.00154078,0.0118941,-0.00858605,-1.00231,0.187549,0.0614331,0.716687,-0.083817,-0.0821579,-0.687448,-0.423181,-13.4739,-87.5642
1,1626619746459,2.31838,-0.0759758,9.52836,-0.00930727,0.000120699,0.00249743,-0.987104,0.187088,0.0603946,0.716423,-0.0837048,-0.0819573,-0.687761,-0.424277,-13.4484,-87.6113
1,1626619746659,2.32538,-0.0833297,9.52987,0.014016,-0.00359267,-0.007765,-0.994274,0.194733,0.0622106,0.716043,-0.0840511,-0.0820238,-0.688106,-0.441085,-13.4819,-87.6683
